artist_names,title,count,document_ids
['Yes'],Going For The One,2,"66f88807fb9f17a601a9ae8e, 66f88807fb9f17a601a9ae98"
['Albert Hammond'],It Never Rains In Southern California,2,"66f88813fb9f17a601aa7d6b, 66f88813fb9f17a601aa7d6c"
['Roxy Music'],Avalon,2,"66f8880cfb9f17a601aa04d7, 66f8880cfb9f17a601aa04d9"
['Prince'],Controversy,2,"66f88804fb9f17a601a97cd5, 66f88816fb9f17a601aaaa8e"
['Electric Light Orchestra'],Showdown,2,"66f8880ffb9f17a601aa35d7, 66f8880ffb9f17a601aa35e3"
['Air Supply'],Lost In Love,2,"66f88810fb9f17a601aa480b, 66f88810fb9f17a601aa4827"
['Culture Beat'],Inside Out,2,"66f8880ffb9f17a601aa42fa, 66f8880ffb9f17a601aa42fd"
"[""Destiny's Child""]",Survivor,2,"66f88808fb9f17a601a9c44e, 66f88808fb9f17a601a9c42a"
['Book Of Love'],Lullaby,2,"66f88803fb9f17a601a965a0, 66f88803fb9f17a601a96596"
['First Choice'],Breakaway,2,"66f8880efb9f17a601aa21d1, 66f8880efb9f17a601aa21ca"
['Queen'],The Miracle,2,"66f88803fb9f17a601a97075, 66f88803fb9f17a601a971a9"
['Soulwax'],Much Against Everyone's Advice,2,"66f8880cfb9f17a601aa0892, 66f8880cfb9f17a601aa088d"
['Faith No More'],We Care A Lot,2,"66f88803fb9f17a601a96aa5, 66f88809fb9f17a601a9d117"
['Laban'],Caught By Surprise,2,"66f88814fb9f17a601aa92ae, 66f88814fb9f17a601aa92ad"
['The Grid'],Texas Cowboys,2,"66f88808fb9f17a601a9c8c5, 66f8880efb9f17a601aa2fc2"
['Karjalan Sissit'],Karjalan Sissit,2,"66f887fffb9f17a601a92f13, 66f88808fb9f17a601a9be97"
['New Kids On The Block'],Hangin' Tough,2,"66f8880ffb9f17a601aa4161, 66f8880ffb9f17a601aa4157"
['Alien Sex Fiend'],Here Cum Germs,2,"66f88804fb9f17a601a97fc1, 66f88804fb9f17a601a97fbc"
['Julian Cope'],World Shut Your Mouth,2,"66f8880afb9f17a601a9e1a9, 66f8880afb9f17a601a9e1cc"
['Jean-Michel Jarre'],Rendez-Vous,2,"66f88810fb9f17a601aa46d4, 66f88810fb9f17a601aa46da"
['Enya'],Amarantine,2,"66f88805fb9f17a601a99150, 66f88805fb9f17a601a99152"
['Inner Circle'],Everything Is Great,2,"66f8880ffb9f17a601aa42e4, 66f88815fb9f17a601aaa721"
['The Byrds'],Mr. Tambourine Man / Turn! Turn! Turn!,2,"66f88806fb9f17a601a99b31, 66f88806fb9f17a601a99b37"
['The Other Two'],Super Highways,2,"66f8880efb9f17a601aa2e41, 66f8880efb9f17a601aa2e3d"
['Kate Bush'],The Red Shoes,2,"66f88805fb9f17a601a99657, 66f88805fb9f17a601a99687"
['The Clash'],The Essential Clash,2,"66f88803fb9f17a601a9735d, 66f88804fb9f17a601a974bc"
['Hi-Tension'],Hi-Tension,2,"66f88807fb9f17a601a9aff0, 66f88807fb9f17a601a9b021"
['Gloria Gaynor'],Never Can Say Goodbye,2,"66f88814fb9f17a601aa8b79, 66f88814fb9f17a601aa8b9f"
['David Bowie'],Young Americans,2,"66f88804fb9f17a601a975d4, 66f8880afb9f17a601a9e9d0"
['Rage Against The Machine'],Rage Against The Machine,2,"66f88801fb9f17a601a94799, 66f88813fb9f17a601aa83fc"
['Photek'],Modus Operandi,2,"66f8880efb9f17a601aa20c2, 66f8880efb9f17a601aa21ac"
['Secret Service'],When The Night Closes In,2,"66f88804fb9f17a601a97e2e, 66f88804fb9f17a601a97e29"
['Bruce Springsteen'],Human Touch,2,"66f88805fb9f17a601a99042, 66f88805fb9f17a601a99033"
['Lawrence'],The Night Will Last Forever,2,"66f8880afb9f17a601a9e22b, 66f8880afb9f17a601a9e23c"
['Starflyer 59'],Starflyer 59,2,"66f88809fb9f17a601a9d162, 66f88809fb9f17a601a9d165"
['Frankie Goes To Hollywood'],Welcome To The Pleasuredome,2,"66f8880ffb9f17a601aa34ee, 66f8880ffb9f17a601aa41d6"
['Concrete Blonde'],Walking In London,2,"66f8880afb9f17a601a9e9e1, 66f8880afb9f17a601a9e9e4"
['AC/DC'],For Those About To Rock (We Salute You),2,"66f88801fb9f17a601a94a5a, 66f88801fb9f17a601a94a40"
['Corona'],Walking On Music,2,"66f88814fb9f17a601aa9708, 66f88814fb9f17a601aa970a"
['Dee Dee Bridgewater'],Bad For Me,2,"66f88806fb9f17a601a99dae, 66f88806fb9f17a601a99dad"
['Hawkwind'],"Quark, Strangeness And Charm",2,"66f88805fb9f17a601a99392, 66f88815fb9f17a601aa9dff"
['Mutya Buena'],Real Girl,2,"66f8880afb9f17a601a9dd09, 66f8880afb9f17a601a9dd0e"
['Corey Hart'],Boy In The Box,2,"66f88812fb9f17a601aa678d, 66f88812fb9f17a601aa678f"
['Mike Oldfield'],Heaven's Open,2,"66f88809fb9f17a601a9d0b7, 66f88809fb9f17a601a9d0ae"
['Bruce Springsteen'],Tunnel Of Love,2,"66f88805fb9f17a601a9906e, 66f88805fb9f17a601a99228"
['Macho'],I'm A Man,2,"66f88802fb9f17a601a95e0f, 66f8880ffb9f17a601aa35ec"
['Queen'],A Kind Of Magic,2,"66f88803fb9f17a601a96612, 66f88803fb9f17a601a9668e"
['Supertramp'],Breakfast In America,2,"66f88805fb9f17a601a9896c, 66f88805fb9f17a601a989d7"
['Rammstein'],Mutter,2,"66f88814fb9f17a601aa8ffd, 66f88814fb9f17a601aa8fff"
['Janet Jackson'],Control,2,"66f88811fb9f17a601aa54f4, 66f88811fb9f17a601aa54fb"
['Kate Bush'],Hounds Of Love,2,"66f88805fb9f17a601a99616, 66f88805fb9f17a601a995f1"
['Penny McLean'],Lady Bump,2,"66f8880ffb9f17a601aa3b33, 66f8880ffb9f17a601aa3b2f"
['Britney Spears'],Oops!...I Did It Again,2,"66f88805fb9f17a601a99138, 66f88805fb9f17a601a9914f"
['a-ha'],Minor Earth | Major Sky,2,"66f88801fb9f17a601a95451, 66f88802fb9f17a601a9562d"
['Richie Rich'],I Can Make You Dance,2,"66f88804fb9f17a601a97723, 66f88804fb9f17a601a97728"
['Scatman John'],Everybody Jam!,2,"66f88805fb9f17a601a99769, 66f88805fb9f17a601a9976e"
['Martika'],Martika's Kitchen,2,"66f8880cfb9f17a601a9ff7d, 66f88816fb9f17a601aaaa1e"
['Andrea True Connection'],"More, More, More",2,"66f8880cfb9f17a601aa026a, 66f8880cfb9f17a601aa027b"
['Dire Straits'],Money For Nothing,2,"66f88804fb9f17a601a98398, 66f88804fb9f17a601a9839d"
['Angelic Upstarts'],Teenage Warning,2,"66f8880ffb9f17a601aa40e4, 66f8880ffb9f17a601aa40f2"
['The Damned'],Anything,2,"66f88803fb9f17a601a97051, 66f88803fb9f17a601a97057"
['Santana'],Santana,2,"66f88806fb9f17a601a9a0f7, 66f88807fb9f17a601a9b75e"
['Donna Summer'],Lady Of The Night,2,"66f88805fb9f17a601a9900a, 66f88812fb9f17a601aa6a5a"
['Borbetomagus'],Borbetomagus,2,"66f88804fb9f17a601a97742, 66f88804fb9f17a601a97745"
['Slayer'],Seasons In The Abyss,2,"66f88801fb9f17a601a9469a, 66f88801fb9f17a601a946ac"
['Téléphone'],Un Autre Monde,2,"66f88802fb9f17a601a955f9, 66f88802fb9f17a601a955f2"
['Creedence Clearwater Revival'],Green River,2,"66f8880bfb9f17a601a9f961, 66f8880bfb9f17a601a9f960"
['Michael Jackson'],Farewell My Summer Love,2,"66f88815fb9f17a601aaa87d, 66f88815fb9f17a601aaa881"
['Alice Cooper (2)'],Hey Stoopid,2,"66f8880bfb9f17a601a9f0e1, 66f8880bfb9f17a601a9f0e8"
['Geri Halliwell'],Scream If You Wanna Go Faster,2,"66f88813fb9f17a601aa85ac, 66f88813fb9f17a601aa85b3"
['Then Jerico'],Muscle Deep,2,"66f88811fb9f17a601aa58bd, 66f88811fb9f17a601aa58c6"
['Thompson Twins'],In The Name Of Love,2,"66f88812fb9f17a601aa6c36, 66f88812fb9f17a601aa6c3c"
['Steve Winwood'],Roll With It,2,"66f88812fb9f17a601aa7564, 66f88812fb9f17a601aa7565"
['Kraftwerk'],Autobahn,2,"66f88800fb9f17a601a93518, 66f88813fb9f17a601aa7bda"
['Le Click'],Tonight Is The Night,2,"66f88814fb9f17a601aa9418, 66f88814fb9f17a601aa9422"
['James'],Seven,2,"66f88800fb9f17a601a9378d, 66f88800fb9f17a601a93795"
['The Duke Spirit'],Cuts Across The Land,2,"66f88811fb9f17a601aa5f8b, 66f88811fb9f17a601aa5f9a"
['Jeff Wayne'],Jeff Wayne's Musical Version Of The War Of The Worlds,2,"66f88802fb9f17a601a95732, 66f8880ffb9f17a601aa366b"
['Belinda Carlisle'],Runaway Horses,2,"66f8880dfb9f17a601aa19c5, 66f8880dfb9f17a601aa19c9"
['Simply Red'],Stars,2,"66f88805fb9f17a601a98b89, 66f88805fb9f17a601a98c61"
['Sonic Youth'],Screaming Fields Of Sonic Love,2,"66f88805fb9f17a601a98fdb, 66f88805fb9f17a601a98fe0"
['Phuture 303'],Alpha & Omega,2,"66f88811fb9f17a601aa6660, 66f88811fb9f17a601aa6662"
['Prizna'],"10,000 Babylon",2,"66f8880ffb9f17a601aa3750, 66f88812fb9f17a601aa73ee"
"[""Meli'sa Morgan""]",Do Me Baby,2,"66f88804fb9f17a601a97e80, 66f88804fb9f17a601a97ea3"
['Crowded House'],Don't Dream It's Over,2,"66f88811fb9f17a601aa5a97, 66f88811fb9f17a601aa5ab2"
['The Bronx (2)'],The Bronx,2,"66f88813fb9f17a601aa7f00, 66f88813fb9f17a601aa7f02"
['EAV (Erste Allgemeine Verunsicherung)'],Kann Denn Schwachsinn Sünde Sein...?,2,"66f88810fb9f17a601aa467a, 66f88810fb9f17a601aa467b"
